p:alpha,p:batch_size,p:coord_feat,p:latent_ch,p:lift_act,p:lr,p:num_FNO,p:num_modes,p:num_projs,p:optimizer,p:padding,p:padding_type,p:proj_act,p:proj_size,p:weight_decay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:TrainLoss,m:valLoss,m:ValR2,m:testLoss,m:testRollout
0.6326620383477534,37,True,7,softplus,0.0005972520579150978,26,6,16,RMSprop,2,reflect,tanh,27,0.03448423823256313,-0.03817220404744148,4.7152646e-08,304,0.08792233467102051,156.0887894630432,1709343172.286869,1709343328.029396,[0.026030025406119723],[0.03817220404744148],"[-498.77435302734375, -0.011636853218078613, -0.07031512260437012, -0.14398062229156494, -0.001593470573425293]",0.03816751763224602,9.0108315e-10
0.9993070770067591,147,False,16,softplus,0.00010642675738742666,24,14,9,RMSprop,4,constant,threshold,6,0.008520308986537264,-1.1334702968597412,3.2176274e-08,242,0.08701610565185547,156.34217309951782,1709343172.3102467,1709343328.2068233,[1.22141033411026],[1.1334702968597412],"[-11842972.0, -7.276991844177246, -17.693286895751953, -2.8131635189056396, -268.18084716796875]",1.133902907371521,-8.737643e-11
0.7985362912228319,167,True,12,logsigmoid,0.0011667637416881561,17,25,14,AdamW,11,circular,relu6,3,0.03778855229634835,-0.11395332217216492,2.2528818e-07,27,0.08379006385803223,156.6071264743805,1709343172.2821176,1709343328.3603525,[0.09188941730694337],[0.11395332217216492],"[-0.10196840763092041, -0.4424149990081787, -2.4260551929473877, -0.0008990764617919922, -1.8835067749023438e-05]",0.11410597711801529,-1.4528833e-09
0.9559175301484006,89,True,11,softshrink,1.817620693611819e-05,23,15,1,Adagrad,15,constant,threshold,24,0.047345055725387004,-0.269501656293869,5.068489e-08,285,0.08764982223510742,159.79897117614746,1709343172.2688837,1709343331.7393394,[0.2590081304311752],[0.269501656293869],"[-6075283.0, -33.20905685424805, -0.2672837972640991, -0.0356450080871582, -45.471046447753906]",0.269417941570282,-6.425426e-10
0.1268846520416063,243,True,41,silu,0.0010291032157795502,6,20,4,SGD,14,constant,gelu,23,0.035373096755470096,-0.11914817988872528,0.00023409663,319,0.08815789222717285,164.7981035709381,1709343172.2856092,1709343336.7390714,[0.014836522517725825],[0.11914817988872528],"[-307.248046875, -0.5846407413482666, -2.58048677444458, -0.0035195350646972656, -0.024294495582580566]",0.11930525302886963,0.0001753047
0.38146285613143616,171,False,56,silu,1.6966572976146093e-05,4,3,12,SGD,16,reflect,relu6,30,0.06792129201758569,-0.11645036190748215,0.001178995,314,0.08806943893432617,165.3397991657257,1709343172.2699018,1709343337.2803128,[0.043475209989330986],[0.11645036190748215],"[-5.356381416320801, -0.6246665716171265, -2.4950754642486572, -0.002295851707458496, -0.00018727779388427734]",0.1166023463010788,0.00063690427
0.82495231483373,52,False,50,softsign,0.00030863110487513643,4,16,12,Adagrad,13,circular,tanh,3,0.09562862849562474,-0.11617299169301987,0.082286194,1,0.08334994316101074,165.59596872329712,1709343172.2819989,1709343337.4803486,[0.08596395898391218],[0.11617299169301987],"[-35.797035217285156, -0.5359532833099365, -2.4915645122528076, 0.006383180618286133, 0.014369189739227295]",0.11632619053125381,0.0759349
0.830240844011922,182,False,23,softsign,4.644398426466958e-06,7,30,9,Adam,15,reflect,elu,11,0.0002537009097300147,-0.09266922622919083,-0.03995748,320,0.08817195892333984,166.2280113697052,1709343172.285592,1709343338.1694107,[0.08834038227796555],[0.09266922622919083],"[-67.447021484375, -3.7482833862304688, -1.4723496437072754, -0.00042617321014404297, -3.897324562072754]",0.09275053441524506,-0.005781528
0.7980148866876022,90,True,9,relu6,6.9305950657435064e-06,25,20,4,RMSprop,13,constant,threshold,15,0.08582387301177759,-1.257911205291748,-5.2685483e-08,294,0.08777856826782227,166.53906321525574,1709343172.2858088,1709343338.4799726,[1.0131827294826508],[1.257911205291748],"[-5265799.5, -1.69026517868042, -4.323025226593018, -232.31312561035156, -692.269287109375]",1.2576851844787598,-8.28115e-10
0.026590500866214957,233,False,45,leaky_relu,0.0016191395270801164,6,12,3,Adagrad,11,constant,threshold,7,0.09991906263891402,-0.9005435705184937,-2.0791359e-07,233,0.08687114715576172,168.04872465133667,1709343172.285076,1709343339.9899945,[0.02528701303526759],[0.9005435705184937],"[-12096474.0, -22.375349044799805, -3.6344685554504395, -242.9462432861328, -174.66868591308594]",0.9003958106040955,1.3282246e-09
0.578063099447998,188,False,14,relu,2.9035964145176137e-06,19,4,8,Adam,11,constant,threshold,13,0.03569277781651113,-0.5527171492576599,2.826997e-07,200,0.08638811111450195,168.66174411773682,1709343172.285286,1709343340.6028385,[0.3189872890710831],[0.5527171492576599],"[-9384955.0, -45.33148956298828, -0.8162437677383423, -129.19996643066406, -71.28567504882812]",0.5529437065124512,1.0127576e-10
0.23872922488985632,107,False,14,threshold,3.3252780676868114e-05,24,24,2,RMSprop,10,reflect,tanh,23,0.011559955993803486,-0.2276679277420044,2.0366258e-07,384,0.08909988403320312,170.22176027297974,1709343172.2709434,1709343342.143904,[0.06723641998627607],[0.2276679277420044],"[-739609.4375, -1.2910113334655762, -2.1076297760009766, -78.2649154663086, -15.234039306640625]",0.22779974341392517,-2.9732772e-09
